DATA,DESPESA,competencia
2006-11-30,113.4,02-2023
2006-12-31,3074.0899999999997,02-2023
2007-01-31,1747.37,02-2023
2007-02-28,0.0,02-2023
2007-03-31,2346.06,02-2023
2007-04-30,415.8,02-2023
2007-05-31,594.48,02-2023
2007-06-30,389.79,02-2023
2007-07-31,422.08,02-2023
2007-08-31,0.0,02-2023
2007-09-30,0.0,02-2023
2007-10-31,155.6,02-2023
2007-11-30,0.0,02-2023
2007-12-31,32.63,02-2023
2008-01-31,0.0,02-2023
2008-02-29,0.0,02-2023
2008-03-31,40.0,02-2023
2008-04-30,0.0,02-2023
2008-05-31,0.0,02-2023
2008-06-30,0.0,02-2023
2008-07-31,0.0,02-2023
2008-08-31,0.0,02-2023
2008-09-30,0.0,02-2023
2008-10-31,84.0,02-2023
2008-11-30,42.0,02-2023
2008-12-31,875.0,02-2023
2009-01-31,293.41999999999996,02-2023
2009-02-28,0.0,02-2023
2009-03-31,0.0,02-2023
2009-04-30,42.0,02-2023
2009-05-31,0.0,02-2023
2009-06-30,0.0,02-2023
2009-07-31,0.0,02-2023
2009-08-31,900.0,02-2023
2009-09-30,0.0,02-2023
2009-10-31,646.68,02-2023
2009-11-30,351.1,02-2023
2009-12-31,0.0,02-2023
2010-01-31,3007.06,02-2023
2010-02-28,0.0,02-2023
2010-03-31,0.0,02-2023
2010-04-30,1027.72,02-2023
2010-05-31,0.0,02-2023
2010-06-30,32.25,02-2023
2010-07-31,0.0,02-2023
2010-08-31,0.0,02-2023
2010-09-30,174.03,02-2023
2010-10-31,236.87,02-2023
2010-11-30,80.1,02-2023
2010-12-31,119.68,02-2023
2011-01-31,0.0,02-2023
2011-02-28,4091.58,02-2023
2011-03-31,0.0,02-2023
2011-04-30,247.79999999999998,02-2023
2011-05-31,40.94,02-2023
2011-06-30,56.96,02-2023
2011-07-31,0.0,02-2023
2011-08-31,2701.76,02-2023
2011-09-30,19.15,02-2023
2011-10-31,44.5,02-2023
2011-11-30,65.95,02-2023
2011-12-31,571.4300000000001,02-2023
2012-01-31,789.3199999999999,02-2023
2012-02-29,0.0,02-2023
2012-03-31,173.8,02-2023
2012-04-30,403.9,02-2023
2012-05-31,195.47,02-2023
2012-06-30,767.97,02-2023
2012-07-31,172.0,02-2023
2012-08-31,442.2,02-2023
2012-09-30,1475.9,02-2023
2012-10-31,208.45,02-2023
2012-11-30,763.3,02-2023
2012-12-31,617.48,02-2023
2013-01-31,321.98,02-2023
2013-02-28,266.25,02-2023
2013-03-31,334.06,02-2023
2013-04-30,3312.8299999999995,02-2023
2013-05-31,618.26,02-2023
2013-06-30,75.55,02-2023
2013-07-31,941.51,02-2023
2013-08-31,143.57,02-2023
2013-09-30,402.0,02-2023
2013-10-31,426.86,02-2023
2013-11-30,323.75,02-2023
2013-12-31,393.28,02-2023
2014-01-31,334.96,02-2023
2014-02-28,519.13,02-2023
2014-03-31,622.11,02-2023
2014-04-30,6353.959999999999,02-2023
2014-05-31,191.55,02-2023
2014-06-30,587.65,02-2023
2014-07-31,146.0,02-2023
2014-08-31,268.0,02-2023
2014-09-30,146.0,02-2023
2014-10-31,0.0,02-2023
2014-11-30,633.0,02-2023
2014-12-31,918.92,02-2023
2015-01-31,0.0,02-2023
2015-02-28,1692.26,02-2023
2015-03-31,0.0,02-2023
2015-04-30,640.88,02-2023
2015-05-31,2814.56,02-2023
2015-06-30,0.0,02-2023
2015-07-31,0.0,02-2023
2015-08-31,2893.7599999999998,02-2023
2015-09-30,68.28,02-2023
2015-10-31,0.0,02-2023
2015-11-30,894.35,02-2023
2015-12-31,1353.46,02-2023
2016-01-31,1296.68,02-2023
2016-02-29,1754.7,02-2023
2016-03-31,137.39,02-2023
2016-04-30,0.0,02-2023
2016-05-31,562.1800000000001,02-2023
2016-06-30,664.0,02-2023
2016-07-31,303.14,02-2023
2016-08-31,3781.87,02-2023
2016-09-30,1442.6399999999999,02-2023
2016-10-31,708.3900000000001,02-2023
2016-11-30,692.7,02-2023
2016-12-31,1218.72,02-2023
2017-01-31,766.12,02-2023
2017-02-28,270.6,02-2023
2017-03-31,329.67,02-2023
2017-04-30,318.22,02-2023
2017-05-31,0.0,02-2023
2017-06-30,211.64,02-2023
2017-07-31,440.0,02-2023
2017-08-31,77.63,02-2023
2017-09-30,641.3599999999999,02-2023
2017-10-31,797.36,02-2023
2017-11-30,283.0,02-2023
2017-12-31,0.0,02-2023
2018-01-31,334.48,02-2023
2018-02-28,0.0,02-2023
2018-03-31,1726.16,02-2023
2018-04-30,1197.01,02-2023
2018-05-31,1155.03,02-2023
2018-06-30,285.0,02-2023
2018-07-31,791.41,02-2023
2018-08-31,423.1,02-2023
2018-09-30,1298.37,02-2023
2018-10-31,1178.6,02-2023
2018-11-30,1123.06,02-2023
2018-12-31,605.53,02-2023
2019-01-31,0.0,02-2023
2019-02-28,571.96,02-2023
2019-03-31,1522.15,02-2023
2019-04-30,115.5,02-2023
2019-05-31,0.0,02-2023
2019-06-30,362.72,02-2023
2019-07-31,0.0,02-2023
2019-08-31,416.0,02-2023
2019-09-30,0.0,02-2023
2019-10-31,0.0,02-2023
2019-11-30,305.09000000000003,02-2023
2019-12-31,1096.6,02-2023
2020-01-31,2033.41,02-2023
2020-02-29,5841.84,02-2023
2020-03-31,1348.39,02-2023
2020-04-30,223.29,02-2023
2020-05-31,1762.61,02-2023
2020-06-30,371.6,02-2023
2020-07-31,3014.49,02-2023
2020-08-31,4376.7699999999995,02-2023
2020-09-30,1355.0,02-2023
2020-10-31,478.51,02-2023
2020-11-30,6467.799999999999,02-2023
2020-12-31,3379.56,02-2023
2021-01-31,2647.2799999999997,02-2023
2021-02-28,4877.8,02-2023
2021-03-31,0.0,02-2023
2021-04-30,2169.65,02-2023
2021-05-31,1996.29,02-2023
2021-06-30,3518.28,02-2023
2021-07-31,868.1700000000001,02-2023
2021-08-31,4106.34,02-2023
2021-09-30,5805.68,02-2023
2021-10-31,8844.05,02-2023
2021-11-30,20762.16,02-2023
2021-12-31,4918.01,02-2023
2022-01-31,2800.83,02-2023
2022-02-28,7095.93,02-2023
2022-03-31,500.84,02-2023
2022-04-30,187.04,02-2023
2022-05-31,6675.91,02-2023
2022-06-30,17666.47,02-2023
2022-07-31,8137.69,02-2023
2022-08-31,12517.84,02-2023
2022-09-30,5903.110000000001,02-2023
2022-10-31,8313.02,02-2023
2022-11-30,16634.97,02-2023
2022-12-31,46115.43,02-2023
2023-01-31,2127287.19,02-2023
2023-02-28,4166664.1,02-2023
2006-11-30,113.4,03-2023
2006-12-31,3074.0899999999997,03-2023
2007-01-31,1747.37,03-2023
2007-02-28,0.0,03-2023
2007-03-31,2346.06,03-2023
2007-04-30,415.8,03-2023
2007-05-31,594.48,03-2023
2007-06-30,389.79,03-2023
2007-07-31,422.08,03-2023
2007-08-31,0.0,03-2023
2007-09-30,0.0,03-2023
2007-10-31,155.6,03-2023
2007-11-30,0.0,03-2023
2007-12-31,32.63,03-2023
2008-01-31,0.0,03-2023
2008-02-29,0.0,03-2023
2008-03-31,40.0,03-2023
2008-04-30,0.0,03-2023
2008-05-31,0.0,03-2023
2008-06-30,0.0,03-2023
2008-07-31,0.0,03-2023
2008-08-31,0.0,03-2023
2008-09-30,0.0,03-2023
2008-10-31,84.0,03-2023
2008-11-30,42.0,03-2023
2008-12-31,875.0,03-2023
2009-01-31,293.41999999999996,03-2023
2009-02-28,0.0,03-2023
2009-03-31,0.0,03-2023
2009-04-30,42.0,03-2023
2009-05-31,0.0,03-2023
2009-06-30,0.0,03-2023
2009-07-31,0.0,03-2023
2009-08-31,900.0,03-2023
2009-09-30,0.0,03-2023
2009-10-31,646.68,03-2023
2009-11-30,351.1,03-2023
2009-12-31,0.0,03-2023
2010-01-31,3007.06,03-2023
2010-02-28,0.0,03-2023
2010-03-31,0.0,03-2023
2010-04-30,1027.72,03-2023
2010-05-31,0.0,03-2023
2010-06-30,32.25,03-2023
2010-07-31,0.0,03-2023
2010-08-31,0.0,03-2023
2010-09-30,174.03,03-2023
2010-10-31,236.87,03-2023
2010-11-30,80.1,03-2023
2010-12-31,119.68,03-2023
2011-01-31,0.0,03-2023
2011-02-28,4091.58,03-2023
2011-03-31,0.0,03-2023
2011-04-30,247.79999999999998,03-2023
2011-05-31,40.94,03-2023
2011-06-30,56.96,03-2023
2011-07-31,0.0,03-2023
2011-08-31,2701.76,03-2023
2011-09-30,19.15,03-2023
2011-10-31,44.5,03-2023
2011-11-30,65.95,03-2023
2011-12-31,571.4300000000001,03-2023
2012-01-31,789.3199999999999,03-2023
2012-02-29,0.0,03-2023
2012-03-31,173.8,03-2023
2012-04-30,403.9,03-2023
2012-05-31,195.47,03-2023
2012-06-30,767.97,03-2023
2012-07-31,172.0,03-2023
2012-08-31,442.2,03-2023
2012-09-30,1475.9,03-2023
2012-10-31,208.45,03-2023
2012-11-30,763.3,03-2023
2012-12-31,617.48,03-2023
2013-01-31,321.98,03-2023
2013-02-28,266.25,03-2023
2013-03-31,334.06,03-2023
2013-04-30,3312.8299999999995,03-2023
2013-05-31,618.26,03-2023
2013-06-30,75.55,03-2023
2013-07-31,941.51,03-2023
2013-08-31,143.57,03-2023
2013-09-30,402.0,03-2023
2013-10-31,426.86,03-2023
2013-11-30,323.75,03-2023
2013-12-31,393.28,03-2023
2014-01-31,334.96,03-2023
2014-02-28,519.13,03-2023
2014-03-31,622.11,03-2023
2014-04-30,6353.959999999999,03-2023
2014-05-31,191.55,03-2023
2014-06-30,587.65,03-2023
2014-07-31,146.0,03-2023
2014-08-31,268.0,03-2023
2014-09-30,146.0,03-2023
2014-10-31,0.0,03-2023
2014-11-30,633.0,03-2023
